"setup","network_size","iteration","Visualization approach","time"
"AMD Opteron 6328",25,1,"igraph",0.0330000000000155
"AMD Opteron 6328",25,2,"igraph",0.0349999999999682
"AMD Opteron 6328",25,3,"igraph",0.0299999999999727
"AMD Opteron 6328",25,4,"igraph",0.0339999999999918
"AMD Opteron 6328",25,5,"igraph",0.0309999999999491
"AMD Opteron 6328",25,6,"igraph",0.0309999999999491
"AMD Opteron 6328",25,7,"igraph",0.0320000000000391
"AMD Opteron 6328",25,8,"igraph",0.0289999999999964
"AMD Opteron 6328",25,9,"igraph",0.0289999999999964
"AMD Opteron 6328",25,10,"igraph",0.0310000000000628
"AMD Opteron 6328",25,11,"igraph",0.0319999999999254
"AMD Opteron 6328",25,12,"igraph",0.0319999999999254
"AMD Opteron 6328",25,13,"igraph",0.0299999999999727
"AMD Opteron 6328",25,14,"igraph",0.0339999999998781
"AMD Opteron 6328",25,15,"igraph",0.0329999999999018
"AMD Opteron 6328",25,16,"igraph",0.0299999999999727
"AMD Opteron 6328",25,17,"igraph",0.0309999999999491
"AMD Opteron 6328",25,18,"igraph",0.0360000000000582
"AMD Opteron 6328",25,19,"igraph",0.0399999999999636
"AMD Opteron 6328",25,20,"igraph",0.0330000000001291
"AMD Opteron 6328",25,21,"igraph",0.0309999999999491
"AMD Opteron 6328",25,22,"igraph",0.0300000000002001
"AMD Opteron 6328",25,23,"igraph",0.0309999999999491
"AMD Opteron 6328",25,24,"igraph",0.0289999999999964
"AMD Opteron 6328",25,25,"igraph",0.0310000000004038
"AMD Opteron 6328",25,26,"igraph",0.031999999999698
"AMD Opteron 6328",25,27,"igraph",0.0320000000001528
"AMD Opteron 6328",25,28,"igraph",0.0259999999998399
"AMD Opteron 6328",25,29,"igraph",0.0309999999999491
"AMD Opteron 6328",25,30,"igraph",0.0289999999999964
"AMD Opteron 6328",25,31,"igraph",0.0349999999998545
"AMD Opteron 6328",25,32,"igraph",0.0289999999999964
"AMD Opteron 6328",25,33,"igraph",0.0329999999999018
"AMD Opteron 6328",25,34,"igraph",0.0310000000004038
"AMD Opteron 6328",25,35,"igraph",0.0320000000001528
"AMD Opteron 6328",25,36,"igraph",0.031999999999698
"AMD Opteron 6328",25,37,"igraph",0.0320000000001528
"AMD Opteron 6328",25,38,"igraph",0.0299999999997453
"AMD Opteron 6328",25,39,"igraph",0.031999999999698
"AMD Opteron 6328",25,40,"igraph",0.0279999999997926
"AMD Opteron 6328",25,41,"igraph",0.0319999999992433
"AMD Opteron 6328",25,42,"igraph",0.0299999999997453
"AMD Opteron 6328",25,43,"igraph",0.0299999999997453
"AMD Opteron 6328",25,44,"igraph",0.0319999999992433
"AMD Opteron 6328",25,45,"igraph",0.0300000000006548
"AMD Opteron 6328",25,46,"igraph",0.0309999999999491
"AMD Opteron 6328",25,47,"igraph",0.0309999999999491
"AMD Opteron 6328",25,48,"igraph",0.0320000000001528
"AMD Opteron 6328",25,49,"igraph",0.0349999999998545
"AMD Opteron 6328",25,50,"igraph",0.0299999999997453
"AMD Opteron 6328",25,51,"igraph",0.0349999999998545
"AMD Opteron 6328",25,52,"igraph",0.0379999999995562
"AMD Opteron 6328",25,53,"igraph",0.0330000000003565
"AMD Opteron 6328",25,54,"igraph",0.0330000000003565
"AMD Opteron 6328",25,55,"igraph",0.032999999999447
"AMD Opteron 6328",25,56,"igraph",0.0349999999998545
"AMD Opteron 6328",25,57,"igraph",0.0319999999992433
"AMD Opteron 6328",25,58,"igraph",0.0309999999999491
"AMD Opteron 6328",25,59,"igraph",0.0330000000003565
"AMD Opteron 6328",25,60,"igraph",0.0309999999999491
"AMD Opteron 6328",25,61,"igraph",0.0309999999999491
"AMD Opteron 6328",25,62,"igraph",0.0289999999995416
"AMD Opteron 6328",25,63,"igraph",0.0309999999999491
"AMD Opteron 6328",25,64,"igraph",0.0360000000000582
"AMD Opteron 6328",25,65,"igraph",0.0339999999996508
"AMD Opteron 6328",25,66,"igraph",0.0290000000004511
"AMD Opteron 6328",25,67,"igraph",0.0299999999997453
"AMD Opteron 6328",25,68,"igraph",0.0299999999997453
"AMD Opteron 6328",25,69,"igraph",0.0340000000005602
"AMD Opteron 6328",25,70,"igraph",0.0320000000001528
"AMD Opteron 6328",25,71,"igraph",0.0309999999999491
"AMD Opteron 6328",25,72,"igraph",0.032999999999447
"AMD Opteron 6328",25,73,"igraph",0.0330000000003565
"AMD Opteron 6328",25,74,"igraph",0.0319999999992433
"AMD Opteron 6328",25,75,"igraph",0.0299999999997453
"AMD Opteron 6328",25,76,"igraph",0.0299999999997453
"AMD Opteron 6328",25,77,"igraph",0.032999999999447
"AMD Opteron 6328",25,78,"igraph",0.0299999999997453
"AMD Opteron 6328",25,79,"igraph",0.0330000000003565
"AMD Opteron 6328",25,80,"igraph",0.032999999999447
"AMD Opteron 6328",25,81,"igraph",0.0349999999998545
"AMD Opteron 6328",25,82,"igraph",0.0340000000005602
"AMD Opteron 6328",25,83,"igraph",0.0309999999999491
"AMD Opteron 6328",25,84,"igraph",0.0299999999997453
"AMD Opteron 6328",25,85,"igraph",0.0290000000004511
"AMD Opteron 6328",25,86,"igraph",0.0309999999999491
"AMD Opteron 6328",25,87,"igraph",0.0299999999997453
"AMD Opteron 6328",25,88,"igraph",0.032999999999447
"AMD Opteron 6328",25,89,"igraph",0.0339999999996508
