"","from","to","x","y"
"1","n10","n1166",-20.8010906441572,54.5844161046244
"2","n10","n1183",-20.8010906441572,54.5844161046244
"3","n10","n1621",-20.8010906441572,54.5844161046244
"4","n100","n245",-35.627685969438,78.5726911940311
"5","n100","n1365",-35.627685969438,78.5726911940311
"6","n100","n1810",-35.627685969438,78.5726911940311
"7","n1000","n11",6.82226933502476,90.3378076187015
"8","n1000","n377",6.82226933502476,90.3378076187015
"9","n1000","n1000",6.82226933502476,90.3378076187015
"10","n1000","n1464",6.82226933502476,90.3378076187015
"11","n1002","n639",298.354522741212,98.1816972328727
"12","n1003","n780",274.300309693498,-33.125388772912
"13","n1004","n673",40.8730661958776,275.200807596563
"14","n1004","n1176",40.8730661958776,275.200807596563
"15","n1006","n431",108.455699741423,-0.244319742886281
"16","n1006","n827",108.455699741423,-0.244319742886281
"17","n1006","n882",108.455699741423,-0.244319742886281
"18","n1006","n1006",108.455699741423,-0.244319742886281
"19","n1006","n1336",108.455699741423,-0.244319742886281
"20","n1006","n1343",108.455699741423,-0.244319742886281
"21","n1006","n1390",108.455699741423,-0.244319742886281
"22","n1006","n1662",108.455699741423,-0.244319742886281
"23","n1007","n36",131.044192023073,-19.0062229716712
"24","n1007","n726",131.044192023073,-19.0062229716712
"25","n1007","n1333",131.044192023073,-19.0062229716712
"26","n1007","n1471",131.044192023073,-19.0062229716712
"27","n1007","n1654",131.044192023073,-19.0062229716712
"28","n1009","n309",310.837797167173,-48.9400347353598
"29","n1009","n487",310.837797167173,-48.9400347353598
"30","n1009","n1288",310.837797167173,-48.9400347353598
"31","n1009","n1302",310.837797167173,-48.9400347353598
"32","n1009","n1313",310.837797167173,-48.9400347353598
"33","n1009","n1393",310.837797167173,-48.9400347353598
"34","n101","n1523",177.901988171733,237.604046032037
"35","n1010","n363",76.3403227675179,240.713815779589
"36","n1010","n1021",76.3403227675179,240.713815779589
"37","n1011","n450",-105.418159439137,-15.6051736617924
"38","n1011","n1823",-105.418159439137,-15.6051736617924
"39","n1012","n205",139.613618452095,-86.9656459878168
"40","n1013","n1610",-175.892079275504,157.889940145152
"41","n1014","n810",-158.272064048163,-27.8251352278257
"42","n1015","n42",24.3589138283569,-109.397804447621
"43","n1015","n857",24.3589138283569,-109.397804447621
"44","n1016","n668",65.157065095608,213.591268797874
"45","n1016","n1370",65.157065095608,213.591268797874
"46","n1017","n668",70.2036994825709,206.746607570049
"47","n1018","n1303",318.599450230952,41.4472770286343
"48","n1019","n1296",-92.5508965275514,-134.996025492025
"49","n102","n109",128.730368115134,83.2361765055096
"50","n102","n246",128.730368115134,83.2361765055096
"51","n102","n494",128.730368115134,83.2361765055096
"52","n102","n676",128.730368115134,83.2361765055096
"53","n102","n1685",128.730368115134,83.2361765055096
"54","n102","n2060",128.730368115134,83.2361765055096
"55","n1020","n1383",102.098390916814,-155.996566919379
"56","n1021","n668",71.5486446073684,214.833514526739
"57","n1021","n1010",71.5486446073684,214.833514526739
"58","n1021","n2043",71.5486446073684,214.833514526739
"59","n1022","n802",259.730723076999,-5.80522895226452
"60","n1024","n400",161.638082071841,8.60266590941188
"61","n1024","n473",161.638082071841,8.60266590941188
"62","n1024","n658",161.638082071841,8.60266590941188
"63","n1025","n81",-137.729336156865,142.455795764
"64","n1025","n2064",-137.729336156865,142.455795764
"65","n1026","n611",181.190157602483,176.360477707854
"66","n1027","n31",-32.6046994159324,101.242336838206
"67","n1027","n1184",-32.6046994159324,101.242336838206
"68","n1028","n352",110.675023531722,261.449417325754
"69","n1029","n244",107.633766448693,-197.33579251996
"70","n103","n857",78.0229098883247,-107.082818805622
"71","n1030","n137",28.8874224316151,-24.8475887784017
"72","n1030","n522",28.8874224316151,-24.8475887784017
"73","n1030","n596",28.8874224316151,-24.8475887784017
"74","n1030","n1187",28.8874224316151,-24.8475887784017
"75","n1030","n1318",28.8874224316151,-24.8475887784017
"76","n1030","n1319",28.8874224316151,-24.8475887784017
"77","n1031","n206",216.949960148968,-133.174112090561
"78","n1032","n472",-56.6677262873645,-37.6792367590078
"79","n1032","n1974",-56.6677262873645,-37.6792367590078
"80","n1033","n347",-23.5335727761691,152.02091604816
"81","n1033","n582",-23.5335727761691,152.02091604816
"82","n1033","n953",-23.5335727761691,152.02091604816
"83","n1034","n147",107.376371001412,-152.855957919313
"84","n1034","n274",107.376371001412,-152.855957919313
"85","n1034","n355",107.376371001412,-152.855957919313
"86","n1034","n432",107.376371001412,-152.855957919313
"87","n1034","n1355",107.376371001412,-152.855957919313
"88","n1036","n236",-70.6449873364056,82.8171957029632
"89","n1036","n847",-70.6449873364056,82.8171957029632
"90","n1036","n1377",-70.6449873364056,82.8171957029632
"91","n1036","n1408",-70.6449873364056,82.8171957029632
"92","n1036","n1626",-70.6449873364056,82.8171957029632
"93","n1038","n339",115.23354283349,209.546159005334
"94","n1039","n980",-11.3581298589197,193.73817995543
"95","n104","n815",-19.6011212083819,42.8267590627686
"96","n104","n1789",-19.6011212083819,42.8267590627686
"97","n1040","n136",71.4567103274141,-199.859939654943
"98","n1040","n422",71.4567103274141,-199.859939654943
"99","n1042","n1104",-37.1033480935185,-31.9428979894319
"100","n1043","n985",-70.9746175075486,67.7379046704938
"101","n1043","n1183",-70.9746175075486,67.7379046704938
"102","n1044","n1197",97.2874886888504,-31.9027897691981
"103","n1045","n695",-61.2835506017524,-126.890160012412
"104","n1045","n757",-61.2835506017524,-126.890160012412
"105","n1045","n992",-61.2835506017524,-126.890160012412
"106","n1045","n1454",-61.2835506017524,-126.890160012412
"107","n1045","n1676",-61.2835506017524,-126.890160012412
"108","n1045","n1820",-61.2835506017524,-126.890160012412
"109","n1045","n1874",-61.2835506017524,-126.890160012412
"110","n1045","n1886",-61.2835506017524,-126.890160012412
"111","n1045","n1887",-61.2835506017524,-126.890160012412
"112","n1045","n1888",-61.2835506017524,-126.890160012412
"113","n1045","n1889",-61.2835506017524,-126.890160012412
"114","n1045","n1890",-61.2835506017524,-126.890160012412
"115","n1045","n1891",-61.2835506017524,-126.890160012412
"116","n1045","n1892",-61.2835506017524,-126.890160012412
"117","n1045","n1893",-61.2835506017524,-126.890160012412
"118","n1045","n1894",-61.2835506017524,-126.890160012412
"119","n1045","n1895",-61.2835506017524,-126.890160012412
"120","n1045","n1896",-61.2835506017524,-126.890160012412
"121","n1046","n920",59.1011396837578,-96.9625771270862
"122","n1047","n43",304.341418003648,19.9087074265063
"123","n1048","n227",77.4262386466388,-132.877606436056
"124","n1048","n644",77.4262386466388,-132.877606436056
"125","n1048","n704",77.4262386466388,-132.877606436056
"126","n1048","n857",77.4262386466388,-132.877606436056
"127","n1049","n1220",-66.9677889283907,273.44826575704
"128","n105","n391",236.962967939706,146.674023515409
"129","n105","n585",236.962967939706,146.674023515409
"130","n1050","n1482",57.0093709730382,282.163030580056
"131","n1051","n898",107.785565143486,21.832120648534
"132","n1051","n1846",107.785565143486,21.832120648534
"133","n1052","n883",96.5789235573648,306.952579579921
"134","n1053","n42",-9.00627567738105,-171.062814842033
"135","n1054","n205",132.805405368575,-96.6145399177115
"136","n1055","n1152",42.6825828522825,-224.646037127511
"137","n1055","n1366",42.6825828522825,-224.646037127511
"138","n1055","n1515",42.6825828522825,-224.646037127511
"139","n1056","n830",-94.8713175913664,42.7552833695814
"140","n1056","n1789",-94.8713175913664,42.7552833695814
"141","n1057","n14",-3.03539188650132,45.410731438498
"142","n1057","n1104",-3.03539188650132,45.410731438498
"143","n1058","n505",277.143945508784,88.8524250513367
"144","n1058","n620",277.143945508784,88.8524250513367
"145","n1059","n611",184.315527544572,173.498396115489
"146","n106","n335",195.795199591921,253.207665020653
"147","n1060","n1237",291.881912613887,41.2524949507444
"148","n1061","n2055",278.055411817544,-118.026655032969
"149","n1062","n560",178.027833920008,-158.541259596216
"150","n1063","n150",-52.2000451718099,-1.71236213310305
"151","n1063","n1183",-52.2000451718099,-1.71236213310305
"152","n1063","n1448",-52.2000451718099,-1.71236213310305
"153","n1064","n536",-157.324609534824,0.734317242431512
"154","n1064","n1268",-157.324609534824,0.734317242431512
"155","n1064","n1536",-157.324609534824,0.734317242431512
"156","n1065","n1270",-66.6057375168368,161.474611564447
"157","n1066","n1066",340.959055678737,7.32088935946814
"158","n1067","n1482",71.7516035012522,283.330279613152
"159","n1068","n269",105.812949204474,252.89844240945
"160","n1069","n421",5.22866078129579,135.995335042039
"161","n107","n224",59.4286513175607,193.108478669398
"162","n107","n238",59.4286513175607,193.108478669398
"163","n107","n530",59.4286513175607,193.108478669398
"164","n107","n2023",59.4286513175607,193.108478669398
"165","n107","n2024",59.4286513175607,193.108478669398
"166","n1070","n819",20.3643606100668,-111.253166190539
"167","n1071","n681",292.266169078082,25.8627411065816
"168","n1071","n1071",292.266169078082,25.8627411065816
"169","n1071","n1694",292.266169078082,25.8627411065816
"170","n1072","n343",-89.8513146781329,-125.886313534829
"171","n1072","n535",-89.8513146781329,-125.886313534829
"172","n1072","n730",-89.8513146781329,-125.886313534829
"173","n1072","n968",-89.8513146781329,-125.886313534829
"174","n1072","n1139",-89.8513146781329,-125.886313534829
"175","n1072","n1296",-89.8513146781329,-125.886313534829
"176","n1073","n520",-5.15474257804096,-61.3220353218115
"177","n1074","n17",-43.302163720834,-87.5950549860191
"178","n1075","n722",-73.8770838772011,-53.9816144158207
"179","n1076","n1626",-138.680067290641,26.9536350885586
"180","n1077","n224",15.5653216789047,243.038684084198
"181","n1078","n243",186.416653602511,276.237936485525
"182","n1079","n520",33.5538598590421,-62.2281067673429
"183","n1079","n857",33.5538598590421,-62.2281067673429
"184","n1079","n920",33.5538598590421,-62.2281067673429
"185","n108","n418",-4.48287640488378,280.07377704614
"186","n1080","n211",-111.777948111318,150.576290684064
"187","n1081","n651",228.645456684386,228.988089387489
"188","n1082","n858",77.5199498926247,262.614906922849
"189","n1083","n535",-116.882794665003,-115.390798301066
"190","n1084","n109",98.4148402545481,122.904131607906
"191","n1085","n815",33.8501793921061,100.424653371694
"192","n1085","n1085",33.8501793921061,100.424653371694
"193","n1086","n1312",158.181151256207,-78.6993032738034
"194","n1087","n1517",-132.573617534353,-109.810454943056
"195","n1088","n382",-12.1817236142856,171.906318360758
"196","n1089","n215",-91.1021279068575,-50.0430280271721
"197","n1089","n271",-91.1021279068575,-50.0430280271721
"198","n109","n14",71.637084115967,96.7483041630751
"199","n109","n102",71.637084115967,96.7483041630751
"200","n109","n246",71.637084115967,96.7483041630751
"201","n109","n480",71.637084115967,96.7483041630751
"202","n109","n531",71.637084115967,96.7483041630751
"203","n109","n618",71.637084115967,96.7483041630751
"204","n109","n676",71.637084115967,96.7483041630751
"205","n109","n817",71.637084115967,96.7483041630751
"206","n109","n919",71.637084115967,96.7483041630751
"207","n109","n1084",71.637084115967,96.7483041630751
"208","n109","n1117",71.637084115967,96.7483041630751
"209","n109","n1298",71.637084115967,96.7483041630751
"210","n109","n1418",71.637084115967,96.7483041630751
"211","n109","n1604",71.637084115967,96.7483041630751
"212","n109","n1653",71.637084115967,96.7483041630751
"213","n109","n1737",71.637084115967,96.7483041630751
"214","n109","n1738",71.637084115967,96.7483041630751
"215","n109","n1739",71.637084115967,96.7483041630751
"216","n1090","n233",50.8735099245645,169.697364160865
"217","n1091","n1268",-205.940875945563,17.7395031538533
"218","n1092","n124",-175.645573696819,50.2846015881795
"219","n1092","n1142",-175.645573696819,50.2846015881795
"220","n1093","n22",264.250773406227,-56.1670158878537
"221","n1093","n1255",264.250773406227,-56.1670158878537
"222","n1093","n1606",264.250773406227,-56.1670158878537
"223","n1094","n608",-104.87247584097,-41.3132852428654
"224","n1094","n662",-104.87247584097,-41.3132852428654
"225","n1095","n112",158.188936270801,-95.6415872104634
"226","n1095","n247",158.188936270801,-95.6415872104634
"227","n1095","n250",158.188936270801,-95.6415872104634
"228","n1095","n463",158.188936270801,-95.6415872104634
"229","n1095","n835",158.188936270801,-95.6415872104634
"230","n1095","n924",158.188936270801,-95.6415872104634
"231","n1095","n944",158.188936270801,-95.6415872104634
"232","n1095","n971",158.188936270801,-95.6415872104634
"233","n1095","n991",158.188936270801,-95.6415872104634
"234","n1095","n1211",158.188936270801,-95.6415872104634
"235","n1095","n1257",158.188936270801,-95.6415872104634
"236","n1095","n1595",158.188936270801,-95.6415872104634
"237","n1095","n1611",158.188936270801,-95.6415872104634
"238","n1096","n42",-41.3791653063394,-166.10395788536
"239","n1096","n116",-41.3791653063394,-166.10395788536
"240","n1096","n117",-41.3791653063394,-166.10395788536
"241","n1096","n132",-41.3791653063394,-166.10395788536
"242","n1097","n844",321.498695640147,23.3585529321143
"243","n1098","n51",-33.1237733676968,-73.4930804084772
"244","n1098","n491",-33.1237733676968,-73.4930804084772
"245","n1098","n520",-33.1237733676968,-73.4930804084772
"246","n1098","n554",-33.1237733676968,-73.4930804084772
"247","n1098","n781",-33.1237733676968,-73.4930804084772
"248","n1098","n977",-33.1237733676968,-73.4930804084772
"249","n1099","n233",47.3359082110169,170.501640868186
"250","n11","n614",10.1985596925014,74.5170466895813
"251","n11","n680",10.1985596925014,74.5170466895813
"252","n11","n1000",10.1985596925014,74.5170466895813
"253","n110","n658",233.595673773036,13.0370262827033
"254","n1100","n1385",287.420707678066,-37.438920399523
"255","n1101","n520",11.8810616602975,-66.5265044404448
"256","n1102","n129",296.96565517312,65.7947088244112
"257","n1104","n94",-19.704161447306,-6.73801727128701
"258","n1104","n471",-19.704161447306,-6.73801727128701
"259","n1104","n718",-19.704161447306,-6.73801727128701
"260","n1104","n761",-19.704161447306,-6.73801727128701
"261","n1104","n787",-19.704161447306,-6.73801727128701
"262","n1104","n838",-19.704161447306,-6.73801727128701
"263","n1104","n1042",-19.704161447306,-6.73801727128701
"264","n1104","n1057",-19.704161447306,-6.73801727128701
"265","n1104","n1186",-19.704161447306,-6.73801727128701
"266","n1104","n1188",-19.704161447306,-6.73801727128701
"267","n1104","n1266",-19.704161447306,-6.73801727128701
"268","n1105","n945",-194.44020350723,-47.8497106048598
"269","n1106","n819",17.0651459211293,-112.14843397581
"270","n1107","n371",4.54731534378239,299.323404437825
"271","n1108","n224",13.464847885825,245.677621931245
"272","n1109","n631",-107.796340801241,-61.6263154282463
"273","n111","n1219",38.5680308835448,-70.2044959711871
"274","n111","n2026",38.5680308835448,-70.2044959711871
"275","n1110","n514",-110.370209274554,-120.773589535485
"276","n1112","n480",92.4084688759493,105.157162104641
"277","n1113","n360",-76.7497934734344,212.841294845365
"278","n1113","n605",-76.7497934734344,212.841294845365
"279","n1113","n1394",-76.7497934734344,212.841294845365
"280","n1114","n198",317.869471506566,-14.4988328680979
"281","n1115","n530",81.2969618417367,171.398297767986
"282","n1115","n1225",81.2969618417367,171.398297767986
"283","n1115","n1251",81.2969618417367,171.398297767986
"284","n1116","n256",94.3021017590118,285.846216256365
"285","n1116","n312",94.3021017590118,285.846216256365
"286","n1116","n2078",94.3021017590118,285.846216256365
"287","n1117","n109",92.9116749039716,126.698238113774
"288","n1118","n785",256.016104919256,41.2513327032767
"289","n1118","n1376",256.016104919256,41.2513327032767
"290","n1119","n819",40.3256186458398,-113.10363185531
"291","n112","n991",174.884546756575,-115.808476930892
"292","n112","n1095",174.884546756575,-115.808476930892
"293","n1120","n765",-210.095779521628,51.4246373737269
"294","n1120","n1175",-210.095779521628,51.4246373737269
"295","n1121","n866",198.125989342089,-24.6869673979564
"296","n1121","n1439",198.125989342089,-24.6869673979564
"297","n1121","n1648",198.125989342089,-24.6869673979564
"298","n1121","n1760",198.125989342089,-24.6869673979564
