"network_size","iteration","igraph","network","ggnet2","geomnet","ggnetwork"
225,1,1.51599999999962,9.11000000000058,2.44800000000032,4.53600000000006,4.25
225,2,1.44599999999991,8.44399999999951,2.44900000000052,4.72200000000157,4.30199999999968
225,3,1.5679999999993,9.96800000000076,2.29499999999825,4.38799999999901,4.22399999999834
225,4,1.48700000000099,8.47400000000198,2.35299999999916,4.48500000000058,4.25399999999718
225,5,1.45500000000175,8.44100000000253,2.3650000000016,3.82500000000073,4.27799999999843
225,6,1.41799999999785,9.96900000000096,2.55400000000009,5.38000000000102,4.55799999999726
225,7,1.68100000000049,7.11199999999735,2.41799999999785,4.61200000000099,4.31100000000151
225,8,1.43499999999767,9.11000000000058,2.34400000000096,4.45200000000114,4.26000000000204
225,9,1.48199999999997,8.69900000000052,2.44599999999991,4.66600000000108,4.46099999999933
225,10,1.5570000000007,8.95400000000154,2.30299999999988,4.54899999999907,4.32200000000012
