"network_size","iteration","igraph","network","ggnet2","geomnet","ggnetwork"
150,1,0.650999999998021,2.69599999999991,1.19099999999889,2.18800000000192,2.46299999999974
150,2,0.644000000000233,2.57600000000093,1.30500000000029,2.22399999999834,2.71199999999953
150,3,0.705000000001746,2.74199999999837,1.25499999999738,2.2510000000002,2.44800000000032
150,4,0.681000000000495,2.67299999999886,1.22999999999956,2.18500000000131,2.43000000000029
150,5,0.685999999997875,2.67599999999948,1.26800000000003,2.21700000000055,2.5570000000007
150,6,0.680999999996857,2.7029999999977,1.31299999999828,2.22099999999773,2.44599999999991
150,7,0.662999999996828,2.67499999999927,1.21299999999974,2.15700000000288,2.40000000000146
150,8,0.682000000000698,2.7019999999975,1.28499999999985,2.24200000000201,2.54299999999785
150,9,0.677999999999884,2.72199999999793,1.28499999999985,2.21700000000055,2.82999999999811
150,10,1.47100000000137,2.79900000000271,1.28299999999945,2.18100000000049,2.58299999999872
